No,,Ligação,,,Transporte de passageiros,
"",,Denominação,ida pass,,volta pass pass total,pass.km
"",CENTRO-OESTE,,358.046,,376.954 735.000,279.930.428
"",,,,,,
125,ARACATUBA (SP) - PRES.PRUDENTE (SP),6.518,5.955,12.473,2.604.362
126,ARACATUBA (SP) - UBERLANDIA (MG),1.002,905,1.907,911.688
127,ARAGUARI (MG) - CAMPINAS (SP),1.934,1.958,3.892,2.140.211
128,BARBACENA (MG) - BARRA MANSA (RJ),1.791,2.524,4.315,1.252.213
129,BARBACENA (MG) - BRAGANCA PAULISTA (SP),505,406,911,431.996
130,BARBACENA (MG) - CABO FRIO (RJ),1.336,1.714,3.050,1.231.285
131,BARBACENA (MG) - CACHOEIRO DO ITAPEMIRIM (ES),251,267,518,224.190
132,BARBACENA (MG) - CAMPINAS (SP),4.629,4.484,9.113,5.859.659
133,BARBACENA (MG) - NITEROI (RJ),1.556,934,2.490,707.409
134,BARBACENA (MG) - RESENDE (RJ),545,358,903,291.940
135,BARBACENA (MG) - SAO JOSE DOS CAMPOS (SP),2.239,2.317,4.556,2.288.003
136,BARBACENA (MG) - VITORIA (ES),1.476,1.331,2.807,1.617.393
137,BARRA MANSA (RJ) - GOV. VALADARES (MG),845,915,1.760,1.087.504
138,BARRA MANSA (RJ) - JUIZ DE FORA (MG),15.720,16.677,32.397,6.813.089
139,BARRA MANSA (RJ) - POUSO ALEGRE (MG),934,925,1.859,507.507
140,BARRA MANSA (RJ) - SAO JOSE DOS CAMPOS (SP),2.847,3.352,6.199,1.355.721
141,BARRA MANSA (RJ) - TEOFILO OTONI (MG),380,377,757,568.810
142,BARRA MANSA (RJ) - VARGINHA (MG),3.451,2.929,6.380,1.888.382
143,BARRETOS (SP) - GOV. VALADARES (MG),22,7,29,28.568
144,BARRETOS (SP) - TEOFILO OTONI (MG),20,2,22,24.609
145,BELO HORIZONTE (MG) - ARACATUBA (SP),1.621,1.725,3.346,3.007.719
146,BELO HORIZONTE (MG) - BARRA MANSA (RJ),13.009,13.406,26.415,12.061.836
147,BELO HORIZONTE (MG) - BARRETOS (SP),4.745,5.435,10.180,6.741.196
148,BELO HORIZONTE (MG) - CABO FRIO (RJ),30.275,32.586,62.861,35.830.770
149,BELO HORIZONTE (MG) - CACHOEIRO DO ITAPEMIRIM (ES),3.653,3.326,6.979,3.440.337
150,BELO HORIZONTE (MG) - CAMPINAS (SP),35.114,36.354,71.468,44.473.908
151,BELO HORIZONTE (MG) - FRANCA (SP),6.439,6.342,12.781,5.759.119
152,BELO HORIZONTE (MG) - NITEROI (RJ),15.934,14.151,30.085,13.550.284
153,BELO HORIZONTE (MG) - PRES.PRUDENTE (SP),3.445,3.575,7.020,6.906.941
154,BELO HORIZONTE (MG) - RESENDE (RJ),661,606,1.267,620.323
155,BELO HORIZONTE (MG) - SAO JOSE DO RIO PRETO (SP),10.777,8.859,19.636,14.552.240
156,BELO HORIZONTE (MG) - SAO JOSE DOS CAMPOS (SP),8.945,8.441,17.386,10.720.044
157,BELO HORIZONTE (MG) - VITORIA (ES),52.023,49.149,101.172,53.823.504
158,BRAGANCA PAULISTA (SP) - JUIZ DE FORA (MG),1.889,924,2.813,1.329.424
159,CACHOEIRO DO ITAPEMIRIM (ES) - NITEROI (RJ),1.143,1.393,2.536,996.787
160,CACHOEIRO DO ITAPEMIRIM (ES) - SAO JOSE DOS CAMPOS (SP),180,237,417,299.224
161,CACHOEIRO DO ITAPEMIRIM (ES) - VOLTA REDONDA (RJ),465,629,1.094,545.063
162,CAMPINAS (SP) - BARRA MANSA (RJ),157,149,306,123.379
163,CAMPINAS (SP) - JUIZ DE FORA (MG),5.561,5.145,10.706,5.926.842
164,CAMPINAS (SP) - MOGI-GUACU (SP),42.280,44.039,86.319,5.861.060
165,CAMPINAS (SP) - RESENDE (RJ),569,892,1.461,537.502
166,COLATINA (ES) - BARRA MANSA (RJ),228,60,288,219.456
167,COLATINA (ES) - GOV. VALADARES (MG),12.387,13.424,25.811,6.060.423
168,COLATINA (ES) - SAO JOSE DOS CAMPOS (SP),300,204,504,490.745
169,COLATINA (ES) - UBERLANDIA (MG),6,10,16,19.224
170,GOV. VALADARES (MG) - VITORIA (ES),21.226,21.427,42.653,16.231.336
171,JUIZ DE FORA (MG) - CABO FRIO (RJ),12.374,11.432,23.806,7.708.383
172,JUIZ DE FORA (MG) - CACHOEIRO DO ITAPEMIRIM (ES),1.756,1.491,3.247,1.232.561
173,JUIZ DE FORA (MG) - NITEROI (RJ),11.973,10.807,22.780,4.651.676
174,JUIZ DE FORA (MG) - SAO JOSE DOS CAMPOS (SP),4.371,4.698,9.069,3.810.612
175,JUIZ DE FORA (MG) - VITORIA (ES),6.396,5.776,12.172,6.321.107
176,PATOS DE MINAS (MG) - CAMPINAS (SP),573,954,1.527,1.186.018
177,PATOS DE MINAS (MG) - FRANCA (SP),4.458,4.205,8.663,3.624.059
178,POUSO ALEGRE (MG) - BRAGANCA PAULISTA (SP),5.074,6.252,11.326,1.500.695
179,POUSO ALEGRE (MG) - CAMPINAS (SP),4.263,4.788,9.051,1.829.881
180,POUSO ALEGRE (MG) - VARGINHA (MG),18.746,19.263,38.009,4.629.496
181,PRES.PRUDENTE (SP) - ARAGUARI (MG),269,280,549,361.187
182,PRES.PRUDENTE (SP) - BARRA MANSA (RJ),1.622,1.590,3.212,2.825.596
183,PRES.PRUDENTE (SP) - JUIZ DE FORA (MG),55,56,111,129.260
184,PRES.PRUDENTE (SP) - UBERLANDIA (MG),1.706,1.824,3.530,2.216.487
185,RESENDE (RJ) - JUIZ DE FORA (MG),1.362,4.914,6.276,1.527.578
186,RESENDE (RJ) - SAO JOSE DOS CAMPOS (SP),3.126,3.663,6.789,1.245.103
187,RIO DE JANEIRO (RJ) - ARACATUBA (SP),9.326,9.051,18.377,18.195.068
188,RIO DE JANEIRO (RJ) - ARAGUARI (MG),171,213,384,399.744
189,RIO DE JANEIRO (RJ) - BARBACENA (MG),25.288,25.572,50.860,13.854.264
190,RIO DE JANEIRO (RJ) - BARRETOS (SP),2.103,1.848,3.951,3.238.240
191,RIO DE JANEIRO (RJ) - BELO HORIZONTE (MG),217.166,224.323,441.489,193.681.224
192,RIO DE JANEIRO (RJ) - CACHOEIRO DO ITAPEMIRIM (ES),48.097,50.745,98.842,39.350.268
193,RIO DE JANEIRO (RJ) - CAMPINAS (SP),68.573,66.684,135.257,67.581.008
194,RIO DE JANEIRO (RJ) - COLATINA (ES),3.352,3.653,7.005,4.474.794
195,RIO DE JANEIRO (RJ) - FRANCA (SP),1.544,1.624,3.168,2.544.192
196,RIO DE JANEIRO (RJ) - GOV. VALADARES (MG),19.203,18.302,37.505,22.356.731
197,RIO DE JANEIRO (RJ) - JUIZ DE FORA (MG),216.731,249.325,466.056,89.630.382
198,RIO DE JANEIRO (RJ) - PATOS DE MINAS (MG),781,685,1.466,1.212.089
199,RIO DE JANEIRO (RJ) - POUSO ALEGRE (MG),4.572,3.913,8.485,3.359.212
200,RIO DE JANEIRO (RJ) - PRES.PRUDENTE (SP),3.432,3.648,7.080,7.183.115
201,RIO DE JANEIRO (RJ) - RESENDE (RJ),137.026,135.171,272.197,44.368.111
202,RIO DE JANEIRO (RJ) - SAO JOSE DO RIO PRETO (SP),8.486,8.507,16.993,14.212.945
203,RIO DE JANEIRO (RJ) - SAO JOSE DOS CAMPOS (SP),17.682,19.632,37.314,12.746.462
204,RIO DE JANEIRO (RJ) - TEOFILO OTONI (MG),11.357,9.847,21.204,15.391.984
205,RIO DE JANEIRO (RJ) - UBERABA (MG),5.040,5.125,10.165,9.115.825
206,RIO DE JANEIRO (RJ) - UBERLANDIA (MG),9.227,9.126,18.353,18.515.760
207,RIO DE JANEIRO (RJ) - VARGINHA (MG),8.922,7.600,16.522,6.538.081
208,RIO DE JANEIRO (RJ) - VITORIA (ES),120.621,117.291,237.912,121.826.511
209,SAO JOSE DO RIO PRETO (SP) - ARAGUARI (MG),550,617,1.167,449.766
210,SAO JOSE DO RIO PRETO (SP) - GOV. VALADARES (MG),134,12,146,155.344
211,SAO JOSE DO RIO PRETO (SP) - JUIZ DE FORA (MG),2.966,1.367,4.333,3.663.985
212,SAO JOSE DO RIO PRETO (SP) - PATOS DE MINAS (MG),596,504,1.100,626.010
213,SAO JOSE DO RIO PRETO (SP) - POUSO ALEGRE (MG),454,210,664,329.145
214,SAO JOSE DO RIO PRETO (SP) - PRES.PRUDENTE (SP),1.648,1.978,3.626,1.001.864
215,SAO JOSE DO RIO PRETO (SP) - TEOFILO OTONI (MG),128,36,164,196.390
216,SAO JOSE DO RIO PRETO (SP) - UBERABA (MG),5.663,5.244,10.907,2.918.713
217,SAO JOSE DO RIO PRETO (SP) - UBERLANDIA (MG),7.077,5.682,12.759,4.353.429
218,SAO JOSE DOS CAMPOS (SP) - GOV. VALADARES (MG),1.232,1.047,2.279,1.890.658
219,SAO JOSE DOS CAMPOS (SP) - POUSO ALEGRE (MG),17.494,18.071,35.565,5.889.564
220,SAO JOSE DOS CAMPOS (SP) - TEOFILO OTONI (MG),1.393,1.378,2.771,2.674.484
221,SAO PAULO (SP) - ARACATUBA (SP),6.709,6.926,13.635,7.396.988
222,SAO PAULO (SP) - ARAGUARI (MG),7.734,8.731,16.465,10.393.809
223,SAO PAULO (SP) - BARBACENA (MG),9.601,9.459,19.060,10.483.000
224,SAO PAULO (SP) - BARRA MANSA (RJ),19.730,20.958,40.688,12.763.902
225,SAO PAULO (SP) - BELO HORIZONTE (MG),300.731,294.044,594.775,350.964.062
226,SAO PAULO (SP) - BRAGANCA PAULISTA (SP),9.227,2.422,11.649,1.027.442
227,SAO PAULO (SP) - CABO FRIO (RJ),14.131,13.754,27.885,16.139.838
228,SAO PAULO (SP) - CACHOEIRO DO ITAPEMIRIM (ES),6.027,6.015,12.042,9.836.993
229,SAO PAULO (SP) - CAMPINAS (SP),190.706,136.946,327.652,39.711.422
230,SAO PAULO (SP) - COLATINA (ES),2.069,1.535,3.604,3.839.002
231,SAO PAULO (SP) - GOV. VALADARES (MG),20.666,26.812,47.478,43.731.986
232,SAO PAULO (SP) - JUIZ DE FORA (MG),58.037,54.816,112.853,58.051.639
233,SAO PAULO (SP) - MOGI-GUACU (SP),36.592,35.486,72.078,12.398.794
234,SAO PAULO (SP) - NITEROI (RJ),129.590,117.646,247.236,109.970.703
235,SAO PAULO (SP) - PATOS DE MINAS (MG),4.583,3.889,8.472,6.882.520
236,SAO PAULO (SP) - POUSO ALEGRE (MG),99.419,86.896,186.315,38.809.415
237,SAO PAULO (SP) - RESENDE (RJ),30.373,33.854,64.227,17.952.305
238,SAO PAULO (SP) - RIO DE JANEIRO (RJ),656.007,623.742,1.279.749,555.921.727
239,SAO PAULO (SP) - SAO JOSE DOS CAMPOS (SP),2.112,105,2.217,203.742
240,SAO PAULO (SP) - TEOFILO OTONI (MG),14.598,17.775,32.373,34.137.219
241,SAO PAULO (SP) - UBERABA (MG),33.948,33.590,67.538,33.694.708
242,SAO PAULO (SP) - UBERLANDIA (MG),43.755,44.012,87.767,53.485.210
243,SAO PAULO (SP) - VARGINHA (MG),26.118,23.582,49.700,15.710.170
244,SAO PAULO (SP) - VITORIA (ES),43.224,40.760,83.984,79.271.385
245,SAO PAULO (SP) - VOLTA REDONDA (RJ),39.008,39.318,78.326,25.245.803
246,TEOFILO OTONI (MG) - CAMPINAS (SP),2.194,1.869,4.063,4.659.448
247,UBERABA (MG) - ARACATUBA (SP),466,456,922,392.219
248,UBERABA (MG) - BARRA MANSA (RJ),383,358,741,571.756
249,UBERABA (MG) - BARRETOS (SP),5.482,5.357,10.839,1.710.775
250,UBERABA (MG) - CAMPINAS (SP),9.284,9.100,18.384,7.526.410
251,UBERABA (MG) - FRANCA (SP),6.486,7.414,13.900,2.009.249
252,UBERABA (MG) - PRES.PRUDENTE (SP),1.110,961,2.071,1.126.624
