UF,Cidade1,Cidade2,Estado1,Estado2,Ida,Volta,Total,pass.km
164,CAMPINAS,SP,MOGI-GUACU,SP,42280,44039,86319,5861060
165,CAMPINAS,SP,RESENDE,RJ,569,892,1461,537502
166,COLATINA,ES,BARRA MANSA,RJ,228,60,288,219456
167,COLATINA,ES,GOV VALADARES,MG,12387,13424,25811,6060423
168,COLATINA,ES,SAO JOSE DOS CAMPOS,SP,300,204,504,490745
169,COLATINA,ES,UBERLANDIA,MG,6,10,16,19224
170,GOV VALADARES,MG,VITORIA,ES,21226,21427,42653,16231336
171,JUIZ DE FORA,MG,CABO FRIO,RJ,12374,11432,23806,7708383
172,JUIZ DE FORA,MG,CACHOEIRO DO ITAPEMIRIM,ES,1756,1491,3247,1232561
173,JUIZ DE FORA,MG,NITEROI,RJ,11973,10807,22780,4651676
174,JUIZ DE FORA,MG,SAO JOSE DOS CAMPOS,SP,4371,4698,9069,3810612
175,JUIZ DE FORA,MG,VITORIA,ES,6396,5776,12172,6321107
176,PATOS DE MINAS,MG,CAMPINAS,SP,573,954,1527,1186018
177,PATOS DE MINAS,MG,FRANCA,SP,4458,4205,8663,3624059
178,POUSO ALEGRE,MG,BRAGANCA PAULISTA,SP,5074,6252,11326,1500695
179,POUSO ALEGRE,MG,CAMPINAS,SP,4263,4788,9051,1829881
180,POUSO ALEGRE,MG,VARGINHA,MG,18746,19263,38009,4629496
181,PRESPRUDENTE,SP,ARAGUARI,MG,269,280,549,361187
182,PRESPRUDENTE,SP,BARRA MANSA,RJ,1622,1590,3212,2825596
183,PRESPRUDENTE,SP,JUIZ DE FORA,MG,55,56,111,129260
184,PRESPRUDENTE,SP,UBERLANDIA,MG,1706,1824,3530,2216487
185,RESENDE,RJ,JUIZ DE FORA,MG,1362,4914,6276,1527578
186,RESENDE,RJ,SAO JOSE DOS CAMPOS,SP,3126,3663,6789,1245103
187,RIO DE JANEIRO,RJ,ARACATUBA,SP,9326,9051,18377,18195068
188,RIO DE JANEIRO,RJ,ARAGUARI,MG,171,213,384,399744
189,RIO DE JANEIRO,RJ,BARBACENA,MG,25288,25572,50860,13854264
190,RIO DE JANEIRO,RJ,BARRETOS,SP,2103,1848,3951,3238240
191,RIO DE JANEIRO,RJ,BELO HORIZONTE,MG,217166,224323,441489,193681224
192,RIO DE JANEIRO,RJ,CACHOEIRO DO ITAPEMIRIM,ES,48097,50745,98842,39350268
193,RIO DE JANEIRO,RJ,CAMPINAS,SP,68573,66684,135257,67581008
194,RIO DE JANEIRO,RJ,COLATINA,ES,3352,3653,7005,4474794
195,RIO DE JANEIRO,RJ,FRANCA,SP,1544,1624,3168,2544192
196,RIO DE JANEIRO,RJ,GOV VALADARES,MG,19203,18302,37505,22356731
197,RIO DE JANEIRO,RJ,JUIZ DE FORA,MG,216731,249325,466056,89630382
198,RIO DE JANEIRO,RJ,PATOS DE MINAS,MG,781,685,1466,1212089
199,RIO DE JANEIRO,RJ,POUSO ALEGRE,MG,4572,3913,8485,3359212
200,RIO DE JANEIRO,RJ,PRESPRUDENTE,SP,3432,3648,7080,7183115
201,RIO DE JANEIRO,RJ,RESENDE,RJ,137026,135171,272197,44368111
202,RIO DE JANEIRO,RJ,SAO JOSE DO RIO PRETO,SP,8486,8507,16993,14212945
203,RIO DE JANEIRO,RJ,SAO JOSE DOS CAMPOS,SP,17682,19632,37314,12746462
204,RIO DE JANEIRO,RJ,TEOFILO OTONI,MG,11357,9847,21204,15391984
205,RIO DE JANEIRO,RJ,UBERABA,MG,5040,5125,10165,9115825
206,RIO DE JANEIRO,RJ,UBERLANDIA,MG,9227,9126,18353,18515760
207,RIO DE JANEIRO,RJ,VARGINHA,MG,8922,7600,16522,6538081
208,RIO DE JANEIRO,RJ,VITORIA,ES,120621,117291,237912,121826511
209,SAO JOSE DO RIO PRETO,SP,ARAGUARI,MG,550,617,1167,449766
210,SAO JOSE DO RIO PRETO,SP,GOV VALADARES,MG,134,12,146,155344
211,SAO JOSE DO RIO PRETO,SP,JUIZ DE FORA,MG,2966,1367,4333,3663985
212,SAO JOSE DO RIO PRETO,SP,PATOS DE MINAS,MG,596,504,1100,626010
213,SAO JOSE DO RIO PRETO,SP,POUSO ALEGRE,MG,454,210,664,329145
214,SAO JOSE DO RIO PRETO,SP,PRESPRUDENTE,SP,1648,1978,3626,1001864
215,SAO JOSE DO RIO PRETO,SP,TEOFILO OTONI,MG,128,36,164,196390
216,SAO JOSE DO RIO PRETO,SP,UBERABA,MG,5663,5244,10907,2918713
217,SAO JOSE DO RIO PRETO,SP,UBERLANDIA,MG,7077,5682,12759,4353429
218,SAO JOSE DOS CAMPOS,SP,GOV VALADARES,MG,1232,1047,2279,1890658
219,SAO JOSE DOS CAMPOS,SP,POUSO ALEGRE,MG,17494,18071,35565,5889564
220,SAO JOSE DOS CAMPOS,SP,TEOFILO OTONI,MG,1393,1378,2771,2674484
221,SAO PAULO,SP,ARACATUBA,SP,6709,6926,13635,7396988
222,SAO PAULO,SP,ARAGUARI,MG,7734,8731,16465,10393809
223,SAO PAULO,SP,BARBACENA,MG,9601,9459,19060,10483000
224,SAO PAULO,SP,BARRA MANSA,RJ,19730,20958,40688,12763902
225,SAO PAULO,SP,BELO HORIZONTE,MG,300731,294044,594775,350964062
226,SAO PAULO,SP,BRAGANCA PAULISTA,SP,9227,2422,11649,1027442
227,SAO PAULO,SP,CABO FRIO,RJ,14131,13754,27885,16139838
228,SAO PAULO,SP,CACHOEIRO DO ITAPEMIRIM,ES,6027,6015,12042,9836993
229,SAO PAULO,SP,CAMPINAS,SP,190706,136946,327652,39711422
230,SAO PAULO,SP,COLATINA,ES,2069,1535,3604,3839002
231,SAO PAULO,SP,GOV VALADARES,MG,20666,26812,47478,43731986
232,SAO PAULO,SP,JUIZ DE FORA,MG,58037,54816,112853,58051639
233,SAO PAULO,SP,MOGI-GUACU,SP,36592,35486,72078,12398794
234,SAO PAULO,SP,NITEROI,RJ,129590,117646,247236,109970703
235,SAO PAULO,SP,PATOS DE MINAS,MG,4583,3889,8472,6882520
236,SAO PAULO,SP,POUSO ALEGRE,MG,99419,86896,186315,38809415
237,SAO PAULO,SP,RESENDE,RJ,30373,33854,64227,17952305
238,SAO PAULO,SP,RIO DE JANEIRO,RJ,656007,623742,1279749,555921727
239,SAO PAULO,SP,SAO JOSE DOS CAMPOS,SP,2112,105,2217,203742
240,SAO PAULO,SP,TEOFILO OTONI,MG,14598,17775,32373,34137219
241,SAO PAULO,SP,UBERABA,MG,33948,33590,67538,33694708
242,SAO PAULO,SP,UBERLANDIA,MG,43755,44012,87767,53485210
243,SAO PAULO,SP,VARGINHA,MG,26118,23582,49700,15710170
244,SAO PAULO,SP,VITORIA,ES,43224,40760,83984,79271385
245,SAO PAULO,SP,VOLTA REDONDA,RJ,39008,39318,78326,25245803
246,TEOFILO OTONI,MG,CAMPINAS,SP,2194,1869,4063,4659448
